Alexandra Park – Part ,H1 ,Harare
Alexandra Park – Part ,H7 ,Harare
Amalinda ,H16 ,Harare
Amalinda Farm ,H16 ,Harare
Ambleside ,H4 ,Harare
Amby ,H5 ,Harare
Arbour Cres ,H16 ,Harare
Art Farm ,H2 ,Harare
Ashbrittle ,H2 ,Harare
Ashdown Park ,H13 ,Harare
Athlone ,H5 ,Harare
Athlone – Part ,H6 ,Harare
Avenues Harare,H22,Harare
Avondale ,H1 ,Harare
Avondale West ,H1 ,Harare
Avonlea – Part ,H1 ,Harare
Avonlea West ,H12 ,Harare
Ballantyne Park ,H7 ,Harare
Bannockburn ,H2 ,Harare
Barrington Rd Area ,H16 ,Harare
Belgravia ,H1 ,Harare
Belvedere ,H13 ,Harare
Borrowdale ,H7 ,Harare
Borrowdale Brook ,H7 ,Harare
Borrowdale N ,H27 ,Harare
Bothashof ,H7 ,Harare
Budiriro ,H23 ,Harare
Carrick ,H7 ,Harare
Chadcombe ,H14 ,Harare
Chedgelow ,H17 ,Harare
Chikurubi ,H6 ,Harare
Chiltern Hill ,H28 ,Harare
Chishawasha ,H28 ,Harare
Chishawasha ,H28 ,Harare
Chisipite ,H8 ,Harare
Colne Valley ,H7 ,Harare
Colne Valley ,H8 ,Harare
Colray ,H7 ,Harare
Colray ,H27 ,Harare
Coronation Park ,H5 ,Harare
Cotswold Hills ,H12 ,Harare
Cranborne Park ,H14 ,Harare
Creagh ,H7 ,Harare
Crowborough ,H11 ,Harare
Crowborough Estate ,H24 ,Harare
Crowhill ,H7 ,Harare
Draycott ,H17 ,Harare
Dzivaresekwa ,H11 ,Harare
Eastlea ,H5 ,Harare
Eastlea ,H25 ,Harare
Emerald Hill ,H2 ,Harare
Epworth ,H14 ,Harare
Getwyn ,H28 ,Harare
Glen Lorne ,H28 ,Harare
Glen Lorne West ,H27 ,Harare
Glen Norah ,H16 ,Harare
Glen Norah A - Part of,H19 ,Harare
Glen Wood ,H28 ,Harare
Glenview ,H16 ,Harare
Glenview - Part of,H23 ,Harare
Greendale - Part of,H5 ,Harare
Greendale - Part of,H6 ,Harare
Greendale - Part ,H8 ,Harare
Greendcroft ,H12 ,Harare
Greengrove ,H6 ,Harare
Greystone Park ,H7 ,Harare
Grobbie Park ,H17 ,Harare
Groombridge ,H2 ,Harare
Guildform Estate ,H7 ,Harare
Gunhill ,H7 ,Harare
Haig Park ,H13 ,Harare
Harare Rd W ,H16 ,Harare
Harava Dam ,H17 ,Harare
Hatcliffe ,H7 ,Harare
Hatfield West ,H10 ,Harare
Hat – Twentydales  -Part ,H14 ,Harare
Hatlands Farm ,H16 ,Harare
Helensvale ,H7 ,Harare
Helensvale S ,H27 ,Harare
Highfields ,H19 ,Harare
Highlands - Part ,H5 ,Harare
Highlands - Part ,H7 ,Harare
Highlands - Part ,H8 ,Harare
Hillside ,H5 ,Harare
Hopley ,H17 ,Harare
Hunyani Poort ,H21 ,Harare
Induna ,H17 ,Harare
Ingwe Farm ,H16 ,Harare
Jerusalem ,H29 ,Harare
Kambuzuma ,H18 ,Harare
Kambuzuma ,H18 ,Harare
Kambuzuma South ,H4 ,Harare
Kensington ,H1 ,Harare
Kensington ,D26 ,Harare
Kingsmead ,H7 ,Harare
Kintyre ,H21 ,Harare
Komani ,H12 ,Harare
Kutsaga ,H14 ,Harare
Kuwadzana ,H11 ,Harare
Lake Chivero ,H21 ,Harare
Langford Farm ,H16 ,Harare
Lewisam ,H8 ,Harare
Lincoln Green ,H13 ,Harare
Little Norfolk ,H2 ,Harare
Logan Park ,H10 ,Harare
Lonchinvar ,H4 ,Harare
Luna ,H7 ,Harare
Lusaka ,H29 ,Harare
Mabelreign ,H13 ,Harare
Mabelreign N ,H12 ,Harare
Mabvuku ,H15 ,Harare
Machipisa ,H29 ,Harare
Malvern ,H17 ,Harare
Mandalay Park ,H14 ,Harare
Mandara ,H6 ,Harare
Marimba Park ,H4 ,Harare
Marlborough ,H12 ,Harare
Mayfield Park ,H1 ,Harare
Mbare ,H9 ,Harare
Merwede ,H11 ,Harare
Meyrick Park ,H13 ,Harare
Midlands ,H17 ,Harare
Milton Park ,H13 ,Harare
Monavale ,H1 ,Harare
Msasa Park ,H14 ,Harare
Mt Pleasant ,H2 ,Harare
Mt Hampden,H3,Harare
Mufakose ,H4 ,Harare
Mufakose West ,H24 ,Harare
Mutare Rd ,H15 ,Harare
Newlands ,H5 ,Harare
Newlands East ,H25 ,Harare
Northwood ,H2 ,Harare
Old Highfields ,H29 ,Harare
Pangula ,H28 ,Harare
Paradise Park ,H29 ,Harare
Park Meadowlands ,H14 ,Harare
Parkridge ,H24 ,Harare
Parkridge Estate ,H11 ,Harare
Parktown ,H17 ,Harare
Pension Farm ,H23 ,Harare
Pension Farm ,H16 ,Harare
Pomona ,H7 ,Harare
Prospect East ,H10 ,Harare
Prospect West ,H17 ,Harare
Queensdale ,H14 ,Harare
Quinnington ,H7 ,Harare
Quinnington S ,H27 ,Harare
Rambabvu ,H28 ,Harare
Reitforntein ,H8 ,Harare
Reitforntein - Part ,H7 ,Harare
Rhodesville ,H5 ,Harare
Ridgeview ,H13 ,Harare
Rolf Valley South ,H28 ,Harare
Rolf Valley N ,H8 ,Harare
Ruwa ,H14 ,Harare
Ruwa ,H15 ,Harare
S Mazorodze Areas ,H17 ,Harare
Safron Area ,H21 ,Harare
San Souci Rd Area ,H14 ,Harare
San Souci Rd Area ,H15 ,Harare
Seki Rd Area ,H17 ,Harare
Seki Rd N ,H10 ,Harare
Sentosa ,H1 ,Harare
Sherwood Park - Part ,H1 ,Harare
Sherwood Park - Part ,H12 ,Harare
Somerby Area ,H21 ,Harare
Spring Heights ,H28 ,Harare
Stanbury Park ,H12 ,Harare
Startmore Farm ,H16 ,Harare
